Destination,Budget_Min,Budget_Max,Start_Date,End_Date,Travel_Type,Activities,Accommodation_Type,Cuisine,Past_Travel_History,Language,Geographical_Features,Cost,Weather_Conditions,Accessibility,Accommodation_Options,Cultural_Highlights,Local_Cuisine,User_Reviews,Special_Features,Tourist_Spots
Jaipur,78072,138012,2024-06-14,2024-08-28,Couple,"Food-related, Cultural, Nature",Hotel,Vegetarian,Delhi,English,Kerala,10000-20000,Moderate,High,Homestay,Sell option site car.,Street Food,4,New suffer wear all forget environment.,Periyar Wildlife Sanctuary
Kerala,13680,113488,2024-06-13,2024-06-22,Group,"Relaxation, Food-related, Adventure",Hostel,North Indian,Rishikesh,English,Rishikesh,20000-30000,Snowy,Low,Villa,Forget room hotel list.,Vegetarian,1,I lead talk safe.,"Solang Valley, Rohtang Pass"
Goa,149500,56718,2024-04-14,2024-10-25,Solo,"Relaxation, Food-related, Nature",Hotel,Seafood,Mumbai,English,Andaman,140000-150000,Tropical,High,Homestay,You up behind.,Vegetarian,5,However western wide among low police.,"Munnar, Alleppey, Varkala"
Andaman,35066,113188,2024-01-06,2024-10-27,Group,"Nature, Relaxation, Cultural",Villa,Street Food,"Jaipur, Leh",English,Goa,130000-140000,Moderate,Medium,Resort,West foreign inside discover film whole.,Vegetarian,4,Sort two bag may.,"Fort Kochi, Thekkady"
Manali,169435,189474,2024-01-16,2024-05-13,Solo,Adventure,Resort,North Indian,"Varanasi, Kerala, Andaman",English,Manali,130000-140000,Snowy,Medium,Hostel,Bit account now citizen local body.,North Indian,5,Fall weight note allow.,Kashi Vishwanath Temple
Rishikesh,128604,89671,2024-01-28,2024-06-18,Couple,"Relaxation, Nature",Homestay,North Indian,"Mumbai, Kerala",English,Jaipur,20000-30000,Moderate,Low,Homestay,White something build accept experience nice.,Street Food,1,Certain yeah finish law thus even.,Periyar Wildlife Sanctuary
Varanasi,8338,81863,2024-04-15,2024-09-22,Couple,"Adventure, Cultural, Food-related",Resort,Street Food,Varanasi,English,Rishikesh,20000-30000,Snowy,Medium,Resort,Make building at traditional.,Vegetarian,1,Cell arrive ask worry.,"Solang Valley, Rohtang Pass"
Mumbai,183898,137960,2024-04-27,2024-10-07,Solo,"Cultural, Relaxation, Nature",Hostel,Street Food,"Manali, Rishikesh",English,Kerala,150000-160000,Snowy,High,Hostel,Of role measure individual ability always.,Seafood,3,Student serious language move.,"Munnar, Alleppey, Varkala"
Manali,67169,34675,2024-06-18,2024-08-14,Family,Relaxation,Hostel,North Indian,"Varanasi, Rishikesh, Leh",English,Mumbai,50000-60000,Snowy,High,Homestay,Protect door the wrong.,South Indian,3,Remain poor hair as he reality.,"Fort Kochi, Thekkady"
Varanasi,178523,95050,2024-10-24,2024-11-07,Group,Food-related,Hotel,Seafood,"Jaipur, Goa, Mumbai",English,Jaipur,40000-50000,Tropical,High,Villa,Kitchen soon station serve resource firm.,North Indian,2,Between last discover without.,Kashi Vishwanath Temple
Andaman,179080,42694,2024-10-06,2024-12-26,Group,Nature,Homestay,South Indian,"Kerala, Delhi, Manali",English,Rishikesh,20000-30000,Tropical,High,Homestay,Without through development staff sometimes.,Street Food,2,Them organization agent.,Periyar Wildlife Sanctuary
Manali,78856,72561,2024-10-31,2025-01-12,Group,"Food-related, Cultural, Relaxation",Hostel,South Indian,Delhi,English,Delhi,180000-190000,Tropical,Medium,Homestay,Adult discuss material energy.,Seafood,4,Sing light hair how.,"Solang Valley, Rohtang Pass"
Varanasi,175732,30844,2024-07-22,2024-11-02,Group,"Cultural, Food-related, Adventure",Villa,Street Food,Leh,English,Varanasi,140000-150000,Moderate,Low,Villa,Man conference affect speak mention.,Street Food,2,Door who friend.,"Munnar, Alleppey, Varkala"
Goa,125896,62736,2024-09-13,2024-11-22,Couple,"Relaxation, Cultural, Food-related",Homestay,Street Food,"Jaipur, Goa, Kerala",English,Manali,70000-80000,Tropical,Low,Homestay,Decision campaign hold everybody loss.,North Indian,4,With friend sign.,"Fort Kochi, Thekkady"
Jaipur,143911,184556,2024-11-26,2024-12-13,Group,"Food-related, Cultural",Hostel,Seafood,Leh,English,Goa,90000-100000,Snowy,High,Hostel,System animal win evidence.,Vegetarian,2,Coach wind truth enjoy.,Kashi Vishwanath Temple
Varanasi,156619,29053,2024-03-15,2024-06-11,Solo,"Food-related, Nature, Cultural",Villa,Vegetarian,"Kerala, Delhi",English,Goa,190000-200000,Moderate,High,Villa,College range job suggest any.,Street Food,4,Building answer daughter push.,Periyar Wildlife Sanctuary
Rishikesh,193402,6801,2024-09-07,2024-12-29,Couple,"Nature, Food-related, Cultural",Resort,North Indian,Goa,English,Goa,30000-40000,Snowy,Medium,Villa,Relate open organization some recently to.,Seafood,1,Charge chair meeting.,"Solang Valley, Rohtang Pass"
Delhi,175787,26841,2024-03-21,2024-05-26,Group,"Relaxation, Cultural, Nature",Homestay,South Indian,"Kerala, Andaman",English,Manali,140000-150000,Tropical,Medium,Hostel,Positive ago for seven table watch.,North Indian,1,Hold step only full.,"Munnar, Alleppey, Varkala"
Varanasi,177480,110626,2024-03-04,2024-03-22,Couple,"Cultural, Food-related",Hotel,Seafood,Andaman,English,Varanasi,190000-200000,Moderate,Low,Hotel,Wind peace computer.,Street Food,5,Arm late over.,"Fort Kochi, Thekkady"
Andaman,131374,18851,2024-06-14,2024-07-02,Family,"Adventure, Relaxation",Hotel,Seafood,"Leh, Delhi, Varanasi",English,Varanasi,20000-30000,Snowy,High,Homestay,Yourself heavy might.,Street Food,2,Subject enter election ok hold.,Kashi Vishwanath Temple
Andaman,81816,100754,2024-06-07,2024-06-13,Solo,"Food-related, Adventure",Villa,South Indian,"Mumbai, Andaman",English,Leh,110000-120000,Tropical,Medium,Resort,House soon impact.,North Indian,4,Word food TV.,Periyar Wildlife Sanctuary
Jaipur,179088,147835,2024-09-06,2024-09-11,Family,"Relaxation, Cultural, Adventure",Villa,Vegetarian,"Leh, Rishikesh, Jaipur",English,Andaman,50000-60000,Moderate,Medium,Homestay,Few buy present go.,Vegetarian,1,Before century pressure result into.,"Solang Valley, Rohtang Pass"
Goa,50059,182498,2024-11-19,2024-12-18,Couple,"Food-related, Adventure",Homestay,North Indian,"Varanasi, Kerala",English,Mumbai,50000-60000,Moderate,Medium,Homestay,Treatment spend break leave democratic.,South Indian,2,Become inside if.,"Munnar, Alleppey, Varkala"
Mumbai,8502,60020,2024-08-06,2024-09-03,Solo,"Adventure, Cultural, Nature",Homestay,South Indian,Rishikesh,English,Kerala,170000-180000,Snowy,Low,Homestay,Reality brother walk.,South Indian,5,Blue public know trouble.,"Fort Kochi, Thekkady"
Leh,93184,143991,2024-10-25,2024-11-13,Couple,"Relaxation, Food-related, Cultural",Resort,South Indian,Leh,English,Goa,130000-140000,Snowy,Low,Homestay,Hot and class tend fill hour.,South Indian,5,Raise seat fly day nothing.,Kashi Vishwanath Temple
Manali,112368,22513,2024-01-01,2024-06-01,Solo,"Nature, Relaxation, Cultural",Hotel,Seafood,"Goa, Jaipur, Rishikesh",English,Rishikesh,120000-130000,Moderate,High,Villa,Identify road significant manage.,South Indian,5,Term generation through issue.,Periyar Wildlife Sanctuary
Leh,15264,7308,2024-06-15,2024-10-26,Couple,"Adventure, Nature, Cultural",Hostel,Seafood,"Jaipur, Kerala, Delhi",English,Kerala,50000-60000,Tropical,Medium,Villa,Spend oil ready thus but.,South Indian,2,Trial positive able above contain.,"Solang Valley, Rohtang Pass"
Goa,64629,122575,2024-04-15,2024-12-26,Family,Cultural,Homestay,Vegetarian,"Jaipur, Rishikesh, Goa",English,Varanasi,40000-50000,Tropical,Low,Resort,Financial glass reveal cost.,Street Food,4,Military bill great.,"Munnar, Alleppey, Varkala"
Jaipur,175088,139652,2024-08-06,2024-10-29,Solo,Food-related,Villa,Vegetarian,"Manali, Leh",English,Goa,100000-110000,Moderate,Medium,Hostel,Discussion career party like.,Seafood,3,Number star onto single.,"Fort Kochi, Thekkady"
Jaipur,80165,87348,2024-01-05,2024-12-22,Couple,"Nature, Cultural",Hostel,Seafood,"Manali, Jaipur, Delhi",English,Andaman,150000-160000,Tropical,Low,Homestay,Since campaign watch.,Vegetarian,4,Describe its free several material artist.,Kashi Vishwanath Temple
Rishikesh,177326,185018,2024-09-04,2025-01-08,Couple,"Adventure, Relaxation",Villa,Street Food,"Jaipur, Leh, Goa",English,Leh,170000-180000,Moderate,Low,Resort,Current possible position from floor.,Seafood,1,Board member stand south.,Periyar Wildlife Sanctuary
Manali,41652,42131,2024-02-26,2024-03-14,Group,Nature,Hostel,Street Food,"Andaman, Manali, Goa",English,Mumbai,10000-20000,Tropical,High,Homestay,Task score senior hospital cause.,North Indian,1,Glass notice wait.,"Solang Valley, Rohtang Pass"
Delhi,105014,181874,2024-04-10,2024-12-10,Group,Food-related,Resort,Vegetarian,"Mumbai, Varanasi, Goa",English,Leh,30000-40000,Moderate,Medium,Villa,Such keep may commercial.,South Indian,2,Than officer environment step effort.,"Munnar, Alleppey, Varkala"
Goa,87318,136862,2024-03-08,2024-03-15,Family,"Adventure, Relaxation, Nature",Hotel,Street Food,"Rishikesh, Delhi",English,Goa,170000-180000,Snowy,High,Homestay,Through hot exactly.,Seafood,2,Machine wife Republican player relate majority.,"Fort Kochi, Thekkady"
Manali,192937,149288,2024-12-07,2025-01-03,Group,"Nature, Cultural",Homestay,Street Food,"Leh, Kerala",English,Delhi,190000-200000,Tropical,High,Villa,Dinner authority cause art minute alone.,North Indian,3,Exactly value able study where.,Kashi Vishwanath Temple
Jaipur,89335,155595,2024-07-27,2024-09-03,Family,"Nature, Cultural",Villa,Seafood,Jaipur,English,Rishikesh,110000-120000,Snowy,Low,Homestay,Best guy factor fire.,South Indian,2,Happy side test.,Periyar Wildlife Sanctuary
Andaman,61513,93013,2024-12-11,2024-12-14,Family,"Adventure, Food-related, Nature",Resort,Seafood,"Goa, Jaipur",English,Rishikesh,140000-150000,Tropical,High,Resort,Let wish north him.,North Indian,5,Month our win.,"Solang Valley, Rohtang Pass"
Manali,103212,181653,2024-05-12,2024-11-23,Group,Food-related,Hostel,North Indian,"Delhi, Kerala",English,Rishikesh,170000-180000,Snowy,Medium,Villa,Food laugh bad.,North Indian,5,Now for leader.,"Munnar, Alleppey, Varkala"
Varanasi,177230,59720,2024-05-30,2024-08-18,Couple,"Food-related, Adventure, Nature",Hostel,Seafood,Varanasi,English,Andaman,170000-180000,Snowy,High,Resort,Much draw capital.,Seafood,2,Central avoid bank.,"Fort Kochi, Thekkady"
Andaman,181241,14795,2024-07-07,2024-07-16,Couple,"Food-related, Relaxation",Hostel,South Indian,"Leh, Goa, Kerala",English,Andaman,140000-150000,Tropical,Medium,Villa,Describe million me government dog bed.,Vegetarian,2,Three car yet strong industry.,Kashi Vishwanath Temple
Kerala,178821,124272,2024-03-20,2024-04-06,Group,"Relaxation, Adventure",Villa,Vegetarian,"Mumbai, Goa",English,Mumbai,100000-110000,Tropical,Medium,Hotel,Example military rate simply cold produce.,South Indian,4,Develop dog book discuss kid remain.,Periyar Wildlife Sanctuary
Mumbai,126089,189609,2024-07-25,2024-08-02,Group,"Nature, Cultural",Hotel,Seafood,"Leh, Varanasi, Manali",English,Kerala,120000-130000,Snowy,High,Villa,Lead bar prepare enter city.,Vegetarian,2,Any figure court chair.,"Solang Valley, Rohtang Pass"
Leh,57567,130460,2024-03-08,2024-09-17,Solo,"Nature, Cultural",Hostel,North Indian,"Delhi, Rishikesh, Kerala",English,Jaipur,140000-150000,Snowy,Low,Hotel,Whether manager remain should pressure bar.,North Indian,5,Nation nor month.,"Munnar, Alleppey, Varkala"
Mumbai,20904,197637,2024-09-26,2024-12-21,Group,"Adventure, Cultural",Homestay,Seafood,Jaipur,English,Manali,130000-140000,Snowy,Medium,Villa,Contain arrive environmental people turn.,Vegetarian,5,Effect fine one particular face.,"Fort Kochi, Thekkady"
Mumbai,180816,30079,2024-09-10,2024-11-04,Family,"Relaxation, Adventure, Cultural",Resort,Seafood,"Jaipur, Varanasi, Andaman",English,Mumbai,160000-170000,Snowy,Low,Hotel,Set religious strong they peace.,South Indian,2,Mother success effort reason single after.,Kashi Vishwanath Temple
Manali,38725,175233,2024-02-28,2025-01-10,Family,"Food-related, Cultural",Hotel,Seafood,"Manali, Kerala, Varanasi",English,Goa,180000-190000,Tropical,High,Homestay,Cut down return source miss.,North Indian,5,Design various body serve water.,Periyar Wildlife Sanctuary
Delhi,63361,13424,2024-04-30,2024-09-23,Couple,Nature,Villa,North Indian,"Mumbai, Andaman",English,Jaipur,180000-190000,Moderate,Low,Villa,Son resource exactly really.,North Indian,1,Call only push side.,"Solang Valley, Rohtang Pass"
Varanasi,180078,110806,2024-05-28,2024-08-02,Family,"Food-related, Relaxation",Hotel,North Indian,"Manali, Mumbai",English,Rishikesh,20000-30000,Moderate,Medium,Hotel,Special chance move smile ahead.,Seafood,4,Successful modern cover generation.,"Munnar, Alleppey, Varkala"
Delhi,183398,134316,2024-11-09,2024-11-24,Solo,Adventure,Hotel,Vegetarian,"Rishikesh, Mumbai, Andaman",English,Delhi,140000-150000,Moderate,Medium,Villa,Room give head turn several success.,Seafood,3,Cut cost cup.,"Fort Kochi, Thekkady"
Manali,133310,97959,2024-08-08,2024-08-25,Couple,"Relaxation, Nature, Food-related",Hotel,South Indian,"Leh, Varanasi",English,Kerala,180000-190000,Moderate,Low,Hotel,Girl be house TV may agree.,Seafood,5,Once memory single everybody.,Kashi Vishwanath Temple
Leh,98891,145407,2024-05-10,2024-08-13,Family,"Relaxation, Adventure",Hotel,Street Food,Rishikesh,English,Delhi,60000-70000,Snowy,Medium,Homestay,Television example pressure.,Vegetarian,5,Last you forward.,Periyar Wildlife Sanctuary
Jaipur,114814,191576,2024-09-10,2025-01-12,Solo,Relaxation,Homestay,Vegetarian,"Kerala, Delhi, Mumbai",English,Kerala,20000-30000,Tropical,High,Villa,Effect before cause like.,Seafood,1,True half build similar.,"Solang Valley, Rohtang Pass"
Mumbai,71028,185190,2024-10-18,2024-11-10,Group,"Adventure, Food-related",Homestay,Vegetarian,"Leh, Manali",English,Kerala,140000-150000,Moderate,Medium,Hostel,Air past support exist car enter.,North Indian,4,Maybe return represent.,"Munnar, Alleppey, Varkala"
Andaman,71354,192494,2024-10-14,2024-10-21,Couple,"Food-related, Cultural",Homestay,Seafood,"Goa, Andaman",English,Varanasi,190000-200000,Moderate,Medium,Resort,Issue herself college.,South Indian,2,Party upon spring.,"Fort Kochi, Thekkady"
Varanasi,130678,173657,2024-11-22,2025-01-01,Family,"Food-related, Adventure",Resort,Street Food,Mumbai,English,Leh,120000-130000,Moderate,Medium,Homestay,Especially major realize especially represent over.,Vegetarian,5,Later kind into question western.,Kashi Vishwanath Temple
Rishikesh,26939,90046,2024-04-04,2024-10-16,Family,"Food-related, Adventure",Resort,Vegetarian,Delhi,English,Delhi,60000-70000,Snowy,Medium,Homestay,Now physical strategy.,Seafood,1,Discuss toward positive.,Periyar Wildlife Sanctuary
Leh,120719,45083,2024-10-24,2024-12-27,Group,"Cultural, Adventure",Homestay,Street Food,"Goa, Delhi, Jaipur",English,Delhi,170000-180000,Moderate,Medium,Hostel,Group indicate data where.,South Indian,3,Participant school sound claim billion.,"Solang Valley, Rohtang Pass"
Manali,124022,8395,2024-05-21,2024-10-25,Group,Food-related,Hotel,Seafood,"Andaman, Varanasi, Manali",English,Andaman,130000-140000,Snowy,High,Resort,Recently member couple then skin capital.,Seafood,1,Price business political.,"Munnar, Alleppey, Varkala"
Leh,169371,159109,2024-08-03,2024-12-14,Group,Nature,Hotel,Seafood,Mumbai,English,Andaman,70000-80000,Tropical,Medium,Hostel,Meet art network city professional personal.,Vegetarian,5,Role air position.,"Fort Kochi, Thekkady"
Andaman,104941,106066,2024-05-18,2024-10-19,Group,"Adventure, Food-related",Villa,North Indian,"Leh, Varanasi, Kerala",English,Rishikesh,100000-110000,Snowy,Medium,Resort,Behind write current.,Street Food,2,Station hit young position one.,Kashi Vishwanath Temple
Leh,21331,116964,2024-05-01,2024-12-13,Group,Food-related,Homestay,Street Food,"Andaman, Manali, Rishikesh",English,Delhi,120000-130000,Moderate,Medium,Resort,Friend defense article national teach.,North Indian,2,Appear police now research road entire.,Periyar Wildlife Sanctuary
Goa,158803,149535,2024-02-18,2024-02-28,Family,"Relaxation, Cultural",Homestay,North Indian,"Delhi, Manali",English,Rishikesh,20000-30000,Moderate,Medium,Hotel,Letter sell avoid from vote.,Vegetarian,2,Way direction force member shoulder wish.,"Solang Valley, Rohtang Pass"
Goa,25465,100646,2024-04-08,2024-05-29,Group,Cultural,Homestay,Street Food,"Varanasi, Andaman, Goa",English,Varanasi,50000-60000,Moderate,Low,Hostel,Sit people change on rise.,Seafood,4,Seven skill kind trade.,"Munnar, Alleppey, Varkala"
Andaman,142783,48011,2024-07-27,2024-08-06,Family,Adventure,Villa,Seafood,"Delhi, Rishikesh",English,Varanasi,170000-180000,Tropical,Medium,Villa,Nothing board defense by.,South Indian,2,Gas miss character.,"Fort Kochi, Thekkady"
Jaipur,185664,28669,2024-06-12,2025-01-05,Group,"Relaxation, Food-related",Villa,Seafood,"Manali, Rishikesh",English,Goa,30000-40000,Moderate,Low,Hotel,Computer conference voice.,South Indian,3,Red traditional man paper.,Kashi Vishwanath Temple
Delhi,50295,87946,2024-05-20,2024-12-21,Family,"Nature, Adventure",Homestay,Seafood,"Andaman, Varanasi",English,Goa,40000-50000,Tropical,Medium,Resort,Instead I rich blue.,North Indian,4,Study newspaper street between what.,Periyar Wildlife Sanctuary
Delhi,77163,11144,2024-11-21,2024-12-16,Group,Cultural,Hotel,North Indian,"Kerala, Rishikesh",English,Jaipur,180000-190000,Snowy,Medium,Hostel,Look however difficult bill.,South Indian,3,Turn organization nature drug price line.,"Solang Valley, Rohtang Pass"
Andaman,57439,46434,2024-04-14,2024-04-29,Solo,"Nature, Adventure, Relaxation",Homestay,Vegetarian,Varanasi,English,Kerala,30000-40000,Moderate,High,Hostel,Ball trade down care.,Vegetarian,3,Perhaps sea however your realize.,"Munnar, Alleppey, Varkala"
Mumbai,177772,16289,2024-01-04,2024-07-28,Family,"Nature, Relaxation, Cultural",Hostel,Seafood,"Manali, Goa, Mumbai",English,Goa,70000-80000,Tropical,Low,Hotel,Two easy health.,North Indian,2,Itself debate your.,"Fort Kochi, Thekkady"
Varanasi,70968,14473,2024-02-16,2024-08-06,Group,"Adventure, Food-related, Cultural",Villa,Seafood,Mumbai,English,Andaman,110000-120000,Tropical,Low,Villa,Learn impact summer all choice.,Seafood,4,Result carry themselves bag north act.,Kashi Vishwanath Temple
Mumbai,130357,66234,2024-12-03,2024-12-08,Family,"Adventure, Relaxation",Hotel,Vegetarian,"Manali, Mumbai, Delhi",English,Kerala,60000-70000,Snowy,Medium,Hotel,New public place sure actually.,North Indian,4,Member couple involve.,Periyar Wildlife Sanctuary
Jaipur,13415,167013,2024-10-24,2024-12-01,Couple,Food-related,Homestay,North Indian,"Goa, Andaman",English,Manali,100000-110000,Tropical,Medium,Homestay,Trip public environmental.,Street Food,5,Decide senior glass.,"Solang Valley, Rohtang Pass"
Leh,158000,17587,2024-09-16,2024-12-21,Solo,"Relaxation, Nature",Hostel,North Indian,"Delhi, Jaipur",English,Manali,190000-200000,Tropical,Low,Villa,Hear collection develop through camera.,Street Food,5,Policy success end different by.,"Munnar, Alleppey, Varkala"
Leh,192985,106043,2024-07-05,2024-08-28,Family,Relaxation,Hostel,Street Food,"Jaipur, Varanasi, Goa",English,Kerala,130000-140000,Moderate,High,Hostel,Pretty clear economy go.,Street Food,4,Senior at century.,"Fort Kochi, Thekkady"
Leh,52920,152893,2024-05-08,2024-11-30,Couple,Nature,Hotel,Seafood,"Manali, Goa",English,Kerala,60000-70000,Tropical,Medium,Homestay,Method staff space.,Street Food,2,Assume product century.,Kashi Vishwanath Temple
Delhi,142538,181120,2024-07-22,2024-12-29,Family,Relaxation,Homestay,Vegetarian,"Jaipur, Delhi, Goa",English,Varanasi,110000-120000,Tropical,Low,Homestay,Four production treatment although.,Street Food,2,Box cost rich care.,Periyar Wildlife Sanctuary
Jaipur,185643,12459,2024-01-05,2024-06-13,Couple,"Adventure, Cultural",Homestay,North Indian,"Varanasi, Goa, Manali",English,Delhi,160000-170000,Snowy,Low,Resort,What rather course civil way phone.,South Indian,2,Focus interesting exist eye less.,"Solang Valley, Rohtang Pass"
Jaipur,41411,46561,2024-09-17,2024-10-03,Solo,Food-related,Villa,Vegetarian,"Jaipur, Manali, Varanasi",English,Mumbai,80000-90000,Snowy,Medium,Resort,Break part so think.,Vegetarian,4,Sea red assume executive again.,"Munnar, Alleppey, Varkala"
Varanasi,80058,116308,2024-05-17,2024-12-04,Solo,Food-related,Hotel,North Indian,"Goa, Leh",English,Leh,10000-20000,Tropical,Medium,Resort,From music everyone star miss.,Seafood,4,Exactly change court.,"Fort Kochi, Thekkady"
Kerala,84014,72996,2024-02-14,2024-03-28,Solo,"Nature, Relaxation",Hotel,Street Food,"Delhi, Kerala",English,Varanasi,40000-50000,Moderate,Low,Villa,Too movie inside speak.,North Indian,2,Drug technology turn buy loss others.,Kashi Vishwanath Temple
Andaman,166636,118155,2024-09-28,2024-12-07,Group,Relaxation,Villa,Vegetarian,"Goa, Andaman",English,Rishikesh,140000-150000,Moderate,Medium,Hotel,Only night appear shoulder.,Seafood,2,Difficult response fight.,Periyar Wildlife Sanctuary
Rishikesh,122715,77301,2024-04-14,2024-07-07,Group,"Food-related, Adventure",Homestay,Vegetarian,"Goa, Rishikesh, Mumbai",English,Kerala,60000-70000,Moderate,Medium,Hotel,Worry behavior threat decide.,North Indian,4,Despite fund finally arm.,"Solang Valley, Rohtang Pass"
Goa,110510,70691,2024-02-07,2025-01-03,Group,"Nature, Food-related",Villa,Street Food,"Varanasi, Goa, Andaman",English,Kerala,90000-100000,Moderate,High,Homestay,Know crime force expect mother.,Vegetarian,4,Western against economy same sign.,"Munnar, Alleppey, Varkala"
Rishikesh,14288,106419,2024-03-06,2025-01-11,Family,"Relaxation, Food-related",Villa,Seafood,"Kerala, Leh, Delhi",English,Kerala,80000-90000,Snowy,High,Hostel,Want performance TV.,South Indian,4,Whose manage together if specific.,"Fort Kochi, Thekkady"
Andaman,74465,72326,2024-02-02,2024-11-20,Family,Relaxation,Hotel,Seafood,Goa,English,Leh,70000-80000,Tropical,High,Hostel,Possible common grow present what.,Street Food,1,Develop the simple under population.,Kashi Vishwanath Temple
Kerala,23033,85385,2024-04-25,2024-10-04,Solo,"Relaxation, Nature, Cultural",Villa,South Indian,Kerala,English,Manali,50000-60000,Tropical,Low,Homestay,Sure father save range stand change.,Seafood,2,Language within series stuff left someone.,Periyar Wildlife Sanctuary
Kerala,47889,110653,2024-05-01,2024-12-01,Couple,Food-related,Homestay,Vegetarian,"Jaipur, Varanasi, Leh",English,Mumbai,170000-180000,Tropical,High,Hostel,Water exactly cold his thus over.,Seafood,4,Popular leave wonder prove over least.,"Solang Valley, Rohtang Pass"
Andaman,100110,95672,2024-08-09,2024-09-26,Couple,"Adventure, Nature",Hotel,Street Food,"Goa, Kerala, Varanasi",English,Kerala,150000-160000,Tropical,Medium,Resort,Congress enter later reflect require.,Vegetarian,4,Everybody magazine wear thus.,"Munnar, Alleppey, Varkala"
Delhi,181610,92515,2024-11-14,2024-12-02,Solo,"Cultural, Food-related, Nature",Hostel,North Indian,"Kerala, Varanasi",English,Varanasi,120000-130000,Moderate,Low,Hotel,Subject Congress common security language generation.,Seafood,5,Key beautiful black.,"Fort Kochi, Thekkady"
Andaman,81461,132432,2024-06-13,2024-08-04,Family,"Nature, Relaxation",Homestay,South Indian,"Delhi, Jaipur, Kerala",English,Goa,130000-140000,Snowy,Low,Villa,Science animal success crime rest say.,North Indian,2,Open whether meeting.,Kashi Vishwanath Temple
Varanasi,96289,154267,2024-08-24,2024-10-10,Family,Cultural,Villa,Vegetarian,Mumbai,English,Rishikesh,80000-90000,Tropical,High,Resort,Section into them into.,South Indian,5,Send fact girl.,Periyar Wildlife Sanctuary
Manali,142063,91541,2024-03-04,2025-01-05,Group,"Relaxation, Cultural",Resort,Seafood,"Mumbai, Kerala",English,Kerala,100000-110000,Snowy,Medium,Villa,Generation series dark region.,South Indian,3,Month three year experience focus next.,"Solang Valley, Rohtang Pass"
Jaipur,117317,24209,2024-01-24,2024-10-02,Couple,"Adventure, Nature",Hotel,Vegetarian,Jaipur,English,Leh,20000-30000,Tropical,High,Hotel,Forward court first thousand.,South Indian,3,Those bar leader.,"Munnar, Alleppey, Varkala"
Delhi,91981,169313,2024-09-10,2024-09-17,Couple,"Adventure, Food-related, Relaxation",Villa,South Indian,Leh,English,Varanasi,100000-110000,Snowy,Medium,Hostel,Avoid night something anything audience.,Vegetarian,3,Factor few most kitchen reason science.,"Fort Kochi, Thekkady"
Mumbai,14096,180025,2024-08-24,2024-12-08,Couple,Food-related,Hostel,Seafood,"Leh, Delhi, Varanasi",English,Manali,20000-30000,Tropical,High,Hostel,Him medical recently financial past perform.,Seafood,1,Life lead require coach throw.,Kashi Vishwanath Temple
Manali,169576,188639,2024-04-13,2024-08-02,Family,"Relaxation, Cultural, Nature",Hotel,North Indian,"Kerala, Rishikesh",English,Jaipur,170000-180000,Moderate,Low,Homestay,Feeling in prevent executive today old.,Seafood,4,Artist action although own.,Periyar Wildlife Sanctuary
Kerala,94144,144271,2024-02-08,2024-04-25,Solo,"Relaxation, Cultural",Resort,South Indian,"Delhi, Andaman",English,Mumbai,40000-50000,Tropical,High,Homestay,Week student fine.,North Indian,1,Operation water event lay remember him.,"Solang Valley, Rohtang Pass"
Leh,127328,140186,2024-08-20,2024-08-25,Family,"Adventure, Food-related",Resort,Vegetarian,Jaipur,English,Delhi,130000-140000,Snowy,Low,Homestay,Go me future suggest.,Street Food,4,Itself generation oil.,"Munnar, Alleppey, Varkala"
Delhi,139892,63128,2024-08-07,2024-10-02,Group,"Nature, Cultural, Food-related",Hostel,Vegetarian,Jaipur,English,Goa,130000-140000,Snowy,Medium,Villa,Today with administration capital mean sort.,Vegetarian,5,Serve plan energy half identify.,"Fort Kochi, Thekkady"
Andaman,127070,79114,2024-04-12,2024-11-07,Couple,"Cultural, Food-related, Relaxation",Hostel,Street Food,"Leh, Mumbai, Kerala",English,Leh,110000-120000,Snowy,Low,Resort,Grow first someone.,North Indian,3,Professional newspaper capital building later blue.,Kashi Vishwanath Temple
Jaipur,24789,191862,2024-05-20,2024-11-03,Family,Adventure,Villa,South Indian,Goa,English,Leh,130000-140000,Tropical,Low,Hostel,Rock ability contain any.,Seafood,2,Join as do parent.,Periyar Wildlife Sanctuary
Mumbai,136774,105918,2024-09-10,2024-11-27,Solo,Cultural,Hostel,North Indian,"Andaman, Varanasi, Kerala",English,Mumbai,130000-140000,Tropical,High,Villa,Control full group.,North Indian,3,Common knowledge fast strong.,"Solang Valley, Rohtang Pass"
Manali,122697,172125,2024-01-15,2024-02-24,Family,Food-related,Homestay,Vegetarian,Kerala,English,Delhi,130000-140000,Tropical,High,Resort,Argue race probably draw here all.,Seafood,1,General leg push art worry.,"Munnar, Alleppey, Varkala"
Rishikesh,169811,67341,2024-08-16,2024-11-03,Group,"Relaxation, Cultural, Adventure",Hostel,Street Food,"Kerala, Rishikesh",English,Kerala,50000-60000,Snowy,High,Hotel,Water effect everyone international.,Street Food,1,Political manager leg.,"Fort Kochi, Thekkady"
Mumbai,149849,165000,2024-10-17,2024-10-25,Group,"Food-related, Cultural, Relaxation",Hostel,North Indian,"Manali, Andaman, Jaipur",English,Delhi,30000-40000,Tropical,High,Hotel,Choice hard western seem role wide.,South Indian,2,As culture wall each writer.,Kashi Vishwanath Temple
